timestamp;total_power_import_kwh;total_power_export_kwh;active_power_w;active_voltage_l1_v;active_current_a;active_power_average_w;montly_power_peak_w;montly_power_peak_timestamp;total_gas_m3
2025-11-01:22:58:06;17942.299;3238.95;401;226.8;2.24;239;1955;2025-11-01:18:45:00;8729.905
2025-11-01:22:59:06;17942.305;3238.95;401;227.5;2.22;266;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:00:06;17942.312;3238.95;402;228.2;2.22;12;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:01:07;17942.317;3238.95;279;228.1;1.81;33;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:02:07;17942.323;3238.95;385;227.1;2.07;58;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:03:07;17942.33;3238.95;387;226.6;2.07;84;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:04:07;17942.336;3238.95;382;226.4;2.05;110;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:05:07;17942.342;3238.95;368;226.2;1.95;134;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:06:07;17942.349;3238.95;361;226.5;1.92;159;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:07:07;17942.354;3238.95;302;226.9;1.58;182;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:08:07;17942.358;3238.95;207;227.8;1.38;196;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:09:07;17942.361;3238.95;204;227.7;1.36;209;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:10:07;17942.365;3238.95;199;227.2;1.33;222;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:11:07;17942.368;3238.95;204;226.8;1.39;235;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:12:07;17942.371;3238.95;193;227.8;1.33;248;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:13:07;17942.374;3238.95;190;228;1.31;261;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:14:07;17942.377;3238.95;192;227.6;1.32;273;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:15:07;17942.381;3238.95;190;227.4;1.32;6;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:16:07;17942.384;3238.95;188;226.7;1.32;18;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:17:07;17942.387;3238.95;190;226.9;1.33;31;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:18:07;17942.39;3238.95;192;227.9;1.32;44;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:19:08;17942.393;3238.95;190;228.6;1.32;56;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:20:08;17942.396;3238.95;189;228.4;1.32;69;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:21:08;17942.4;3238.95;189;228.8;1.32;82;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:22:08;17942.403;3238.95;189;228.5;1.32;94;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:23:08;17942.406;3238.95;189;228.4;1.31;107;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:24:08;17942.409;3238.95;188;228.4;1.31;120;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:25:08;17942.412;3238.95;186;228.4;1.3;132;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:26:08;17942.415;3238.95;189;228.9;1.31;145;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:27:08;17942.418;3238.95;187;229.3;1.29;157;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:28:08;17942.422;3238.95;212;229.3;1.46;170;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:29:08;17942.425;3238.95;208;228.4;1.43;184;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:30:08;17942.429;3238.95;208;228.6;1.43;6;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:31:08;17942.432;3238.95;205;228.7;1.43;20;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:32:08;17942.436;3238.95;206;228.4;1.44;34;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:33:08;17942.439;3238.95;207;227.8;1.43;48;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:34:08;17942.442;3238.95;205;227.8;1.41;62;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:35:08;17942.446;3238.95;205;228.4;1.4;75;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:36:09;17942.449;3238.95;184;228;1.29;89;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:37:09;17942.452;3238.95;184;228;1.29;102;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:38:09;17942.456;3238.95;186;229;1.3;114;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:39:09;17942.459;3238.95;185;229.2;1.3;126;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:40:09;17942.462;3238.95;190;229.6;1.31;139;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:41:09;17942.465;3238.95;186;229.4;1.3;151;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:42:09;17942.47;3238.95;294;228.7;1.55;172;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:43:09;17942.475;3238.95;292;228.5;1.55;192;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:44:09;17942.48;3238.95;292;228.6;1.53;211;1955;2025-11-01:18:45:00;8729.905
2025-11-01:23:45:09;17942.485;3238.95;293;229.6;1.53;10;1955;2025-11-01:18:45:00;8729.905
